@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1047,'2019/09/26 10:01:08:296',8,-7896981,-7436427,-7239045,-7304320,-7501183,-7698301,-8027262,-8356225,-8816773,-9802638,-6976387,-6712955,-6712440,-6777461,-6974580,-7171701,-7435126,-7698296,-7895930,-7829358,-6449785,-6449012,-6579825,-6776431,-6908017,-7039856,-7237234,-7434869,-6711398,-6513755,-6251634,-6448239,-10131872,-14013655,-10264486,-8948369,-7631734,-7763577,-7697777,-8092273,-6185582,-8881806,-16250100,-15854823,-14606818,-13225936,-12568006,-12106686,-12106424,-11380385,-6251116,-8487048,-16447736,-15855337,-13883096,-12502730,-11975358,-11844027,-12369597,-11643556,-6317164,-6513514,-8158080,-10197661,-9211282,-8158336,-7434354,-8092799,-8750977,-8618361,-6580334,-6448490,-6645098,-6776683,-6908524,-7171694,-7171695,-7303283,-6448737,-6251096,-7172212,-6777966,-6711660,-6711659,-6842988,-7040366,-7171952,-7369331,-7567221,-6974564,-8027005,-7632502,-7369844,-7238002,-7369331,-7435380,-7632757,-7895930,-8422015,-9079687,1
1048,'2019/09/26 10:01:08:330',8,-7896981,-7436427,-7239045,-7304320,-7501183,-7698301,-8027262,-8356225,-8816773,-9802638,-6976387,-6712955,-6712440,-6777461,-6974580,-7171701,-7435126,-7698296,-7895930,-7829358,-6449785,-6449012,-6579825,-6776431,-6908017,-7039856,-7237234,-7434869,-6711398,-6513755,-6251634,-6448239,-10131872,-14013655,-10264486,-8948369,-7631734,-7763577,-7697777,-8092273,-6185582,-8881806,-16250100,-15854823,-14606818,-13225936,-12568006,-12106686,-12106424,-11380385,-6251116,-8487048,-16447736,-15855337,-13883096,-12502730,-11975358,-11844027,-12369597,-11643556,-6317164,-6513514,-8158080,-10197661,-9211282,-8158336,-7434354,-8092799,-8750977,-8618361,-6580334,-6448490,-6645098,-6776683,-6908524,-7171694,-7171695,-7303283,-6448737,-6251096,-7172212,-6777966,-6711660,-6711659,-6842988,-7040366,-7171952,-7369331,-7567221,-6974564,-8027005,-7632502,-7369844,-7238002,-7369331,-7435380,-7632757,-7895930,-8422015,-9079687,1
1049,'2019/09/26 10:01:08:364',8,-7831445,-7436426,-7239044,-7304321,-7501184,-7698302,-8027264,-8356226,-8882053,-9802637,-6976387,-6712956,-6712440,-6777461,-6974580,-7171700,-7500662,-7698296,-7895930,-7894895,-6449785,-6383477,-6579826,-6710896,-6908017,-7039600,-7237234,-7434613,-6645862,-6513755,-6251634,-6382705,-10066079,-13882069,-10132900,-8882319,-7565941,-7697785,-7631982,-8092017,-6251117,-8881806,-16250356,-15854823,-14541282,-13225937,-12567494,-12106685,-12106166,-11314847,-6251116,-8553098,-16447736,-15920619,-13883352,-12568522,-11975615,-11909820,-12369597,-11709092,-6382699,-6513514,-8289922,-10329248,-9211540,-8224130,-7434354,-8158591,-8882306,-8618617,-6580334,-6448490,-6579562,-6776683,-6974060,-7171439,-7171695,-7303538,-6448737,-6251352,-7172467,-6777966,-6646123,-6711659,-6908524,-7040366,-7171952,-7304051,-7567221,-6974563,-8027004,-7566967,-7435380,-7303538,-7303795,-7435380,-7632758,-7895929,-8422272,-9079687,1
1050,'2019/09/26 10:01:08:398',8,-7831445,-7436426,-7239044,-7304321,-7501184,-7698302,-8027264,-8356226,-8882053,-9802637,-6976387,-6712956,-6712440,-6777461,-6974580,-7171700,-7500662,-7698296,-7895930,-7894895,-6449785,-6383477,-6579826,-6710896,-6908017,-7039600,-7237234,-7434613,-6645862,-6513755,-6251634,-6382705,-10066079,-13882069,-10132900,-8882319,-7565941,-7697785,-7631982,-8092017,-6251117,-8881806,-16250356,-15854823,-14541282,-13225937,-12567494,-12106685,-12106166,-11314847,-6251116,-8553098,-16447736,-15920619,-13883352,-12568522,-11975615,-11909820,-12369597,-11709092,-6382699,-6513514,-8289922,-10329248,-9211540,-8224130,-7434354,-8158591,-8882306,-8618617,-6580334,-6448490,-6579562,-6776683,-6974060,-7171439,-7171695,-7303538,-6448737,-6251352,-7172467,-6777966,-6646123,-6711659,-6908524,-7040366,-7171952,-7304051,-7567221,-6974563,-8027004,-7566967,-7435380,-7303538,-7303795,-7435380,-7632758,-7895929,-8422272,-9079687,1
1051,'2019/09/26 10:01:08:431',8,-7896980,-7436427,-7239045,-7304321,-7501183,-7698300,-8027263,-8356225,-8882310,-9867919,-6976132,-6712955,-6712441,-6777462,-7040117,-7171701,-7500663,-7698296,-7895930,-7894895,-6449785,-6383476,-6579569,-6776432,-6908016,-7039855,-7237234,-7434868,-6711398,-6579036,-6251633,-6448239,-9802908,-13684434,-10066851,-8750989,-7500149,-7697785,-7566190,-7960689,-6251119,-8750477,-16250357,-15920360,-14606818,-13160400,-12501958,-12040892,-12040374,-11249055,-6251116,-8684427,-16381943,-15920872,-13948889,-12568523,-12041408,-11975356,-12369853,-11709349,-6317164,-6447978,-8487301,-10526626,-9343126,-8355716,-7434354,-8158591,-8948100,-8749947,-6580334,-6448490,-6579561,-6776683,-6974061,-7171694,-7171950,-7303537,-6448738,-6316888,-7172211,-6843502,-6646123,-6711659,-6843244,-7040366,-7106671,-7304051,-7567221,-6909027,-8027003,-7566966,-7369844,-7303538,-7303795,-7435379,-7632758,-7961466,-8422016,-9079687,1
1052,'2019/09/26 10:01:08:464',8,-7831446,-7436427,-7173763,-7304321,-7501183,-7698301,-8027263,-8356225,-8816774,-9802637,-6976387,-6647420,-6712440,-6777461,-6974582,-7171701,-7500662,-7698296,-7895930,-7894895,-6515320,-6449012,-6579570,-6710896,-6908017,-7039600,-7237234,-7434869,-6711397,-6579292,-6251634,-6448240,-9736858,-13487311,-9935522,-8750733,-7500148,-7697785,-7566190,-8026224,-6251118,-8684685,-16250357,-15920360,-14541282,-13225937,-12501701,-12040891,-12040374,-11249055,-6251117,-8684427,-16381944,-15920618,-13949144,-12634059,-12106944,-11975357,-12435134,-11643813,-6317163,-6447979,-8618631,-10592419,-9343383,-8355716,-7499890,-8158848,-8948100,-8684411,-6580333,-6448490,-6579561,-6776683,-6974060,-7171695,-7171695,-7303537,-6448737,-6316889,-7237747,-6777965,-6646124,-6777195,-6842988,-7040366,-7106671,-7303795,-7567221,-6909027,-8027004,-7566966,-7435124,-7238258,-7369331,-7435380,-7632757,-7895930,-8422016,-9079431,1
1053,'2019/09/26 10:01:08:497',8,-7831446,-7436427,-7173763,-7304321,-7501183,-7698301,-8027263,-8356225,-8816774,-9802637,-6976387,-6647420,-6712440,-6777461,-6974582,-7171701,-7500662,-7698296,-7895930,-7894895,-6515320,-6449012,-6579570,-6710896,-6908017,-7039600,-7237234,-7434869,-6711397,-6579292,-6251634,-6448240,-9736858,-13487311,-9935522,-8750733,-7500148,-7697785,-7566190,-8026224,-6251118,-8684685,-16250357,-15920360,-14541282,-13225937,-12501701,-12040891,-12040374,-11249055,-6251117,-8684427,-16381944,-15920618,-13949144,-12634059,-12106944,-11975357,-12435134,-11643813,-6317163,-6447979,-8618631,-10592419,-9343383,-8355716,-7499890,-8158848,-8948100,-8684411,-6580333,-6448490,-6579561,-6776683,-6974060,-7171695,-7171695,-7303537,-6448737,-6316889,-7237747,-6777965,-6646124,-6777195,-6842988,-7040366,-7106671,-7303795,-7567221,-6909027,-8027004,-7566966,-7435124,-7238258,-7369331,-7435380,-7632757,-7895930,-8422016,-9079431,1
1054,'2019/09/26 10:01:08:530',8,-7896980,-7436425,-7239044,-7304321,-7501183,-7698302,-8027263,-8355969,-8882309,-9802638,-6910853,-6712957,-6712441,-6777461,-7040116,-7171700,-7435127,-7698296,-7895930,-7895149,-6515322,-6449013,-6579825,-6776432,-6973552,-7039600,-7237234,-7434868,-6711399,-6513755,-6251634,-6448239,-9737370,-13553104,-10001058,-8685453,-7500149,-7697784,-7566190,-7960688,-6251117,-8816013,-16315893,-15920616,-14541281,-13225937,-12501701,-12040892,-12040374,-11249055,-6250861,-8750219,-16381943,-15855080,-13948888,-12634315,-12107200,-11975612,-12435388,-11709349,-6382444,-6513514,-8618375,-10592418,-9343127,-8355715,-7434354,-8158592,-8948099,-8749946,-6580335,-6448745,-6645098,-6776683,-6974061,-7171439,-7171951,-7303538,-6514274,-6316888,-7172467,-6843502,-6646124,-6777195,-6843244,-7040366,-7171951,-7304049,-7567221,-6974564,-8027004,-7632502,-7435124,-7303794,-7303794,-7435380,-7632759,-7895929,-8422016,-9079687,1
1055,'2019/09/26 10:01:08:564',8,-7896980,-7436425,-7239044,-7304321,-7501183,-7698302,-8027263,-8355969,-8882309,-9802638,-6910853,-6712957,-6712441,-6777461,-7040116,-7171700,-7435127,-7698296,-7895930,-7895149,-6515322,-6449013,-6579825,-6776432,-6973552,-7039600,-7237234,-7434868,-6711399,-6513755,-6251634,-6448239,-9737370,-13553104,-10001058,-8685453,-7500149,-7697784,-7566190,-7960688,-6251117,-8816013,-16315893,-15920616,-14541281,-13225937,-12501701,-12040892,-12040374,-11249055,-6250861,-8750219,-16381943,-15855080,-13948888,-12634315,-12107200,-11975612,-12435388,-11709349,-6382444,-6513514,-8618375,-10592418,-9343127,-8355715,-7434354,-8158592,-8948099,-8749946,-6580335,-6448745,-6645098,-6776683,-6974061,-7171439,-7171951,-7303538,-6514274,-6316888,-7172467,-6843502,-6646124,-6777195,-6843244,-7040366,-7171951,-7304049,-7567221,-6974564,-8027004,-7632502,-7435124,-7303794,-7303794,-7435380,-7632759,-7895929,-8422016,-9079687,1
1056,'2019/09/26 10:01:08:600',8,-7896981,-7436426,-7239045,-7304320,-7435647,-7632765,-8027264,-8356225,-8816774,-9867917,-6976389,-6712955,-6712441,-6777461,-7040117,-7171701,-7435127,-7698296,-7895930,-7894895,-6449786,-6448756,-6579570,-6710896,-6973552,-7039600,-7237234,-7434868,-6711655,-6513755,-6251633,-6448240,-9737115,-13618897,-10066850,-8816526,-7500148,-7697785,-7566191,-7960689,-6251117,-8684428,-16250357,-15920615,-14606817,-13225936,-12501957,-12040893,-12040630,-11314591,-6251117,-8618634,-16447480,-15920618,-13948888,-12634315,-12107200,-11975356,-12435133,-11709349,-6317164,-6447979,-8487045,-10526370,-9343126,-8355715,-7434354,-8158591,-8948100,-8749946,-6580332,-6448490,-6579562,-6776683,-6974061,-7171694,-7171695,-7303538,-6514274,-6316888,-7172211,-6777966,-6711660,-6711659,-6842989,-7040366,-7172207,-7304050,-7567221,-6974564,-8027004,-7566967,-7369844,-7303794,-7303795,-7435379,-7632503,-7961466,-8422271,-9079430,1
